etf,top_n,when,date,rank,ticker,share_of_each_1000
QQQ,50,first purchase,2020-01-02,7,INTC,34.001992169729505
QQQ,50,first purchase,2020-01-02,8,CMCSA,26.66314153484472
QQQ,50,first purchase,2020-01-02,9,CSCO,26.572210612158678
QQQ,50,first purchase,2020-01-02,10,PEP,24.889877820428186
QQQ,50,first purchase,2020-01-02,11,ADBE,20.851146245515633
QQQ,50,first purchase,2020-01-02,12,NVDA,18.807199004167476
QQQ,50,first purchase,2020-01-02,13,AMGN,18.707490652492922
QQQ,50,first purchase,2020-01-02,14,NFLX,18.52010270212292
QQQ,50,first purchase,2020-01-02,15,COST,16.95858809009526
QQQ,50,first purchase,2020-01-02,16,PYPL,16.58810803556966
QQQ,50,first purchase,2020-01-02,17,AVGO,16.371800241905635
QQQ,50,first purchase,2020-01-02,18,TXN,15.662142305000168
QQQ,50,first purchase,2020-01-02,19,CHTR,13.606870881823298
QQQ,50,first purchase,2020-01-02,20,SBUX,13.56090013199349
QQQ,50,first purchase,2020-01-02,21,QCOM,13.157522331379083
QQQ,50,first purchase,2020-01-02,22,BKNG,11.226929692506587
QQQ,50,first purchase,2020-01-02,23,GILD,10.736717741779394
QQQ,50,first purchase,2020-01-02,24,MDLZ,10.357488065750571
QQQ,50,first purchase,2020-01-02,25,FISV,10.267458467481102
QQQ,50,first purchase,2020-01-02,26,TSLA,9.847699291789345
QQQ,50,first purchase,2020-01-02,27,ADP,9.635175228396857
QQQ,50,first purchase,2020-01-02,28,ISRG,8.922983417655058
QQQ,50,first purchase,2020-01-02,29,INTU,8.9047322828734
QQQ,50,first purchase,2020-01-02,30,TMUS,8.762646120318095
QQQ,50,first purchase,2020-01-02,31,MU,7.775693524927464
QQQ,50,first purchase,2020-01-02,32,CSX,7.393388293295011
QQQ,50,first purchase,2020-01-02,33,AMAT,7.364130501794402
QQQ,50,first purchase,2020-01-02,34,VRTX,7.353293478243434
QQQ,50,first purchase,2020-01-02,35,BIIB,6.992738479446205
QQQ,50,first purchase,2020-01-02,36,WBA,6.872850282814962
QQQ,50,first purchase,2020-01-02,37,AMD,6.669983188826863
QQQ,50,first purchase,2020-01-02,38,MAR,6.465882744276386
QQQ,50,first purchase,2020-01-02,39,ILMN,6.368949658508019
QQQ,50,first purchase,2020-01-02,40,ATVI,5.962004861333045
QQQ,50,first purchase,2020-01-02,41,EXC,5.788094101622266
QQQ,50,first purchase,2020-01-02,42,ADI,5.716344188349864
QQQ,50,first purchase,2020-01-02,43,LRCX,5.540285336386594
QQQ,50,first purchase,2020-01-02,44,ROST,5.500016481714844
QQQ,50,first purchase,2020-01-02,45,REGN,5.293573095058671
QQQ,50,first purchase,2020-01-02,46,ADSK,5.2613721426626805
QQQ,50,first purchase,2020-01-02,47,KHC,5.124303451406839
QQQ,50,first purchase,2020-01-02,48,NXPI,4.645867497099202
QQQ,50,first purchase,2020-01-02,49,BIDU,4.564356987361767
QQQ,50,first purchase,2020-01-02,50,MNST,4.462645014304334
QQQ,75,first purchase,2020-01-02,1,AAPL,122.64253918707207
QQQ,75,first purchase,2020-01-02,2,MSFT,113.08301026618275
QQQ,75,first purchase,2020-01-02,3,AMZN,86.11453514497059
QQQ,75,first purchase,2020-01-02,4,META,46.42721208287641
QQQ,75,first purchase,2020-01-02,5,GOOGL,43.28088873216311
QQQ,75,first purchase,2020-01-02,6,GOOG,43.17541227149255
QQQ,75,first purchase,2020-01-02,7,INTC,31.216242845098066
QQQ,75,first purchase,2020-01-02,8,CMCSA,24.478656927223064
QQQ,75,first purchase,2020-01-02,9,CSCO,24.395175884391012
